text,size,group,year1,type_of_violence,conflict_name,dyad_name,source_original,where_coordinates,date_start,date_end
"Reuters, 9 Feb 1989",0,511,1989,3,JVP - Civilians,JVP - Civilians,officials,Kandy town,32547,32547
Reuters 20/9,1,352,2004,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Puttalam town,38248,38248
"BBC Monitoring South Asia, 2009-02-26, Sri Lanka Army captures Tamil Tiger suicide bomb factory, leader's bunker",4,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Mullaittivu,39867,39869
"AFP 2006-09-30, Reuters 2006-09-30",2,352,2006,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,"The defence ministry, military spokesman",waters off Jaffna town,38989,38990
"Reuters, 9 mar 07",10,352,2007,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military official,Trincomalee,39149,39150
Reuters 3 jun 07,25,352,2007,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,defence officials,Vavuniya,39235,39236
Xinhua 9 jun 07,21,352,2007,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Thoppigala area,39241,39242
"Agence France Presse, 2009-01-22, Sri Lanka seize rebel command centre",46,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,pro-rebel Tamilnet.com,Mullaittivu town,39833,39835
"BBC Monitoring South Asia, 2009-02-22, Heavy fighting continues between troops, Tamil Tigers in north Sri Lanka",6,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Ministry of Defence,Ampalavanpokanai locality,39864,39865
"BBC Monitoring South Asia, 2009-02-22, Heavy fighting continues between troops, Tamil Tigers in north Sri Lanka",15,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Ministry of Defence,Puthukkudiyiruppu town,39864,39865
"BBC Monitoring South Asia, 2009-02-22, Heavy fighting continues between troops, Tamil Tigers in north Sri Lanka",10,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Ministry of Defence,Puthukkudiyiruppu town,39864,39865
"BBC Monitoring South Asia, 2009-02-22, Heavy fighting continues between troops, Tamil Tigers in north Sri Lanka",5,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Ministry of Defence,Udayarkaddu locality,39864,39865
"Agence France Presse, 2009-03-10, Civilians killed in Sri Lankan army shelling: pro-rebel website",74,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,the pro-rebel Tamilnet website,Mullaittivu,39881,39882
"Agence France Presse, 2009-03-15, Sri Lanka troops smash Tiger post, kill 41 rebels: military",41,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,the defence ministry,Puthukkudiyiruppu town,39886,39887
"BBC Monitoring South Asia, 2009-04-14, Pro-Tamil website says 23 killed in Sri Lanka army firing 12-13 April",23,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,TamilNet website,Mullaittivu,39915,39916
"Reuters News, 2009-04-21, WRAPUP 3-Sri Lanka troops move in on Tigers, 52,000 flee",132,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,The International Committee of the Red Cross (ICRC),Mullaittivu,39922,39923
"Agence France Presse, 2009-04-21, Tigers ignore surrender deadline, accuse Sri Lanka of carnage",29,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,the defence ministry,Mullaittivu,39923,39924
"Agence France Presse, 2009-04-22, Sri Lanka presses final attack on Tamil Tigers",11,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Sri Lanka's government,Mullaittivu,39924,39925
"Reuters News, 2009-05-11,  U.N. blasts Sri Lanka weekend attack as 'bloodbath', Agence France Presse, 2009-05-10, Sri Lanka rebels say 250 civilians dead in govt attack",1000,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,U.N. spokesman Gordon Weiss/Tamilnet/government,NFZ2,39942,39943
"Reuters, 24 October 1989",13,511,1989,3,JVP - Civilians,JVP - Civilians,police,Central,32803,32803
R 12/26/1989 SRI LANKAN SECURITY FORCES KILL 11 LEFTWING REBELS.,4,313,1989,1,Sri Lanka (Ceylon): Government,Government of Sri Lanka - JVP,government,Kandy town,32867,32867
"R 7/19/1996 Sri Lankan rebels show still a force to reckon with. // AP 19 July 2003 ""Tamil rebels celebrate key military victory in northeastern Sri Lanka",1514,352,1996,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Alampil town,35264,35266
R 9/25/1996 Sri Lanka forces step up strikes on Tamil rebels.,147,352,1996,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Kilinochchi town,35330,35332
"AFP 2006-08-12, AFP 2006-08-13",260,352,2006,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,government spokesman Keheliya Rambukwella,Pooneryn town,38941,38943
Reuters 20 jun 07,30,352,2007,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Thoppigala area,39252,39253
